Ente;Liste/Gruppi;Voti;Year;
ITALIA (escl. Valle d'Aosta);FORZA NUOVA;109699;2008;
ITALIA (escl. Valle d'Aosta);P.LIBERALE ITALIANO;104053;2008;
ITALIA (escl. Valle d'Aosta);PS D'AZ.;14860;2008;
ITALIA (escl. Valle d'Aosta);PARTITO SOCIALISTA;355495;2008;
ITALIA (escl. Valle d'Aosta);ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;135535;2008;
ITALIA (escl. Valle d'Aosta);SINISTRA CRITICA;168916;2008;
ITALIA (escl. Valle d'Aosta);PER IL BENE COMUNE;119569;2008;
ITALIA (escl. Valle d'Aosta);IL LOTO;1797;2008;
ITALIA (escl. Valle d'Aosta);L'INTESA VENETA;2388;2008;
ITALIA (escl. Valle d'Aosta);PARTITO DI ALTERNATIVA COMUNISTA;1993;2008;
ITALIA (escl. Valle d'Aosta);PARTITO COMUNISTA DEI LAVORATORI;208296;2008;
ITALIA (escl. Valle d'Aosta);UNION FUR SUD TIROL;12981;2008;
ITALIA (escl. Valle d'Aosta);LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;13992;2008;
ITALIA (escl. Valle d'Aosta);LG.VENETA REPUBBLICA;31353;2008;
ITALIA (escl. Valle d'Aosta);MOVIMENTO P.P.A.;946;2008;
ITALIA (escl. Valle d'Aosta);LISTA DEI GRILLI PARLANTI;66835;2008;
ITALIA (escl. Valle d'Aosta);UNIONE DEMOCRATICA PER I CONSUMATORI;91106;2008;
CIRCOSCRIZIONE ESTERO;PARTITO DEMOCRATICO;338954;2008;
CIRCOSCRIZIONE ESTERO;IL POPOLO DELLA LIBERTA';322437;2008;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;88017;2008;
CIRCOSCRIZIONE ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;86970;2008;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;64325;2008;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;42149;2008;
CIRCOSCRIZIONE ESTERO;PARTITO SOCIALISTA;32513;2008;
CIRCOSCRIZIONE ESTERO;LA SINISTRA L'ARCOBALENO;28495;2008;
CIRCOSCRIZIONE ESTERO;LA DESTRA - FIAMMA TRICOLORE;14974;2008;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;9251;2008;
CIRCOSCRIZIONE ESTERO;SINISTRA CRITICA;6062;2008;
CIRCOSCRIZIONE ESTERO;CONSUMATORI CIVICI ITALIANI;4878;2008;
CIRCOSCRIZIONE ESTERO;VALORI E FUTURO;4493;2008;
ITALIA (escl. Valle d'Aosta);L'ULIVO;11930983;2006;
ITALIA (escl. Valle d'Aosta);RIFONDAZIONE COMUNISTA;2229464;2006;
ITALIA (escl. Valle d'Aosta);LA ROSA NEL PUGNO;990694;2006;
ITALIA (escl. Valle d'Aosta);COMUNISTI ITALIANI;884127;2006;
ITALIA (escl. Valle d'Aosta);DI PIETRO ITALIA DEI VALORI;877052;2006;
ITALIA (escl. Valle d'Aosta);FEDERAZIONE DEI VERDI;784803;2006;
ITALIA (escl. Valle d'Aosta);U.D.EUR POPOLARI;534088;2006;
ITALIA (escl. Valle d'Aosta);PARTITO PENSIONATI;333278;2006;
ITALIA (escl. Valle d'Aosta);SVP;182704;2006;
ITALIA (escl. Valle d'Aosta);"I SOCIALISTI ";115066;2006;
ITALIA (escl. Valle d'Aosta);LISTA CONSUMATORI;73751;2006;
ITALIA (escl. Valle d'Aosta);ALLEANZA LOMBARDA AUTONOMIA;44589;2006;
ITALIA (escl. Valle d'Aosta);LIGA FRONTE VENETO;21999;2006;
ITALIA (escl. Valle d'Aosta);FORZA ITALIA;9048976;2006;
ITALIA (escl. Valle d'Aosta);ALLEANZA NAZIONALE;4707126;2006;
ITALIA (escl. Valle d'Aosta);UNIONE DI CENTRO;2580190;2006;
ITALIA (escl. Valle d'Aosta);LEGA NORD;1747730;2006;
ITALIA (escl. Valle d'Aosta);DEM.CRIST.-NUOVO PSI;285474;2006;
ITALIA (escl. Valle d'Aosta);ALTERNATIVA SOCIALE MUSSOLINI;255354;2006;
ITALIA (escl. Valle d'Aosta);FIAMMA TRICOLORE;230506;2006;
ITALIA (escl. Valle d'Aosta);NO EURO;58746;2006;
ITALIA (escl. Valle d'Aosta);PENSIONATI UNITI;27550;2006;
ITALIA (escl. Valle d'Aosta);AMBIENTA-LISTA;17145;2006;
ITALIA (escl. Valle d'Aosta);P.LIBERALE ITALIANO;12265;2006;
ITALIA (escl. Valle d'Aosta);S.O.S. ITALIA;6781;2006;
ITALIA (escl. Valle d'Aosta);DESTRA NAZIONALE;1093;2006;
ITALIA (escl. Valle d'Aosta);SARDIGNA NATZIONE;11000;2006;
ITALIA (escl. Valle d'Aosta);DIMENSIONE CHRISTIANA;2489;2006;
ITALIA (escl. Valle d'Aosta);PER IL SUD;5130;2006;
ITALIA (escl. Valle d'Aosta);DIE FREIHEITLICHEN;17183;2006;
ITALIA (escl. Valle d'Aosta);MOVIMENTO TRIVENETO;4518;2006;
ITALIA (escl. Valle d'Aosta);MOV.DEM.SIC-NOI SIC.;5003;2006;
ITALIA (escl. Valle d'Aosta);PROGETTO NORDEST;92002;2006;
ITALIA (escl. Valle d'Aosta);SOLIDARIETA';5814;2006;
ITALIA (escl. Valle d'Aosta);IRS;11648;2006;
ITALIA (escl. Valle d'Aosta);TERZO POLO;16174;2006;
ITALIA (escl. Valle d'Aosta);LEGA SUD;848;2006;
CIRCOSCRIZIONE ESTERO;L'UNIONE;421414;2006;
CIRCOSCRIZIONE ESTERO;FORZA ITALIA;202536;2006;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;99817;2006;
CIRCOSCRIZIONE ESTERO;PER ITALIA NEL MONDO;72105;2006;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;66456;2006;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;27432;2006;
CIRCOSCRIZIONE ESTERO;LEGA NORD;20211;2006;
CIRCOSCRIZIONE ESTERO;U.S.E.I.;14205;2006;
CIRCOSCRIZIONE ESTERO;P.ITALIANI NEL MONDO;11250;2006;
